rank,category,model_name,filename_tag,important_params,oof_rmse_cv5_rs42,oof_file
1,advanced_more_tuned,MLPRegressor Tuned Stable,mlp_h256x128_relu_bs256_lr0p001_a1em04_mi320,h256x128_relu_bs256_lr0p001_alpha1e-4_iter320_seed123,125.541328,outputs/forward_selection_oof/models/01_mlp_h256x128_relu_bs256_lr0p001_a1em04_mi320__h256x128_relu_bs256_lr0p001_alpha1e-4_iter320_seed123__rmse125.5413.csv
2,advanced_more,MLPRegressor Deep,mlp_256_128_64,h256x128x64_relu_bs256_lr0p001_alpha1e-4_iter300_seed42,127.888339,outputs/forward_selection_oof/models/02_mlp_256_128_64__h256x128x64_relu_bs256_lr0p001_alpha1e-4_iter300_seed42__rmse127.8883.csv
3,advanced_more,CatBoostRegressor,catboost_depth8,depth8_lr0p03_iter4000_seed42,138.807642,outputs/forward_selection_oof/models/03_catboost_depth8__depth8_lr0p03_iter4000_seed42__rmse138.8076.csv
4,advanced_more,StackingRegressor,stack_ridge_extra_hist,meta_ridge0p5_base_ridge_extra250_hist700,161.261207,outputs/forward_selection_oof/models/04_stack_ridge_extra_hist__meta_ridge0p5_base_ridge_extra250_hist700__rmse161.2612.csv
5,advanced,Weighted Blend,blend_hgb50_et50,hgb500d6_w0p50_plus_et400_w0p50,163.533421,outputs/forward_selection_oof/models/05_blend_hgb50_et50__hgb500d6_w0p50_plus_et400_w0p50__rmse163.5334.csv
6,advanced,HistGradientBoosting Wide,hist_gb_700_d8,lr0p03_depth8_iter700_l20p5,165.38253,outputs/forward_selection_oof/models/06_hist_gb_700_d8__lr0p03_depth8_iter700_l20p5__rmse165.3825.csv
7,advanced,HistGradientBoosting Tuned,hist_gb_500_d6,lr0p05_depth6_iter500_l21p0,167.528173,outputs/forward_selection_oof/models/07_hist_gb_500_d6__lr0p05_depth6_iter500_l21p0__rmse167.5282.csv
8,advanced,ExtraTrees Tuned,extra_trees_400,n400_leaf2_seed42,168.640903,outputs/forward_selection_oof/models/08_extra_trees_400__n400_leaf2_seed42__rmse168.6409.csv
9,basic,ExtraTrees,extra_trees_200,n200_leaf2_seed42,168.800608,outputs/forward_selection_oof/models/09_extra_trees_200__n200_leaf2_seed42__rmse168.8006.csv
10,basic,HistGradientBoosting,hist_gb_300,lr0p05_depth6_iter300_l21p0,167.946272,outputs/forward_selection_oof/models/10_hist_gb_300__lr0p05_depth6_iter300_l21p0__rmse167.9463.csv
11,basic,RandomForest,random_forest_160,n160_leaf2_seed42,176.370571,outputs/forward_selection_oof/models/11_random_forest_160__n160_leaf2_seed42__rmse176.3706.csv
12,basic_linear,Lasso Regression,lasso_linear,alpha0p0005_iter5000_seed42,218.64967,outputs/forward_selection_oof/models/12_lasso_linear__alpha0p0005_iter5000_seed42__rmse218.6497.csv
13,basic,Ridge + OneHot,ridge_ohe,alpha1p0,218.660075,outputs/forward_selection_oof/models/13_ridge_ohe__alpha1p0__rmse218.6601.csv
14,basic_linear,Ridge Regression,ridge_linear,alpha1p0,218.660075,outputs/forward_selection_oof/models/14_ridge_linear__alpha1p0__rmse218.6601.csv
15,basic_linear,ElasticNet Regression,elasticnet_linear,alpha0p0005_l1r0p2_iter5000_seed42,218.789277,outputs/forward_selection_oof/models/15_elasticnet_linear__alpha0p0005_l1r0p2_iter5000_seed42__rmse218.7893.csv
16,basic_linear,OLS Linear Regression,ols_linear,plain_ols,218.649315,outputs/forward_selection_oof/models/16_ols_linear__plain_ols__rmse218.6493.csv
